wallet_address	total_received	total_sent	balance
1KUzq13qqefyBoHtiS7J8E9uHhZiRwgxvM	70.0	70.0	0.0
15pBv8xf2CbqJ1eqphAPyD1XZdMfuioVdU	51.55426307	51.55426307	0.0
bc1qyuunv9pz6f4qpgd0c0wmenu9zhr6u57yjf4afd	53.1067445	53.1067445	0.0
bc1qpwwtck0zhzrj56fxeayz6wz5546nlp607qzpvh	3.95475769	3.95475769	0.0
bc1qcnw5v94y40ast06eatgalnjpluu2p067qewh46	3.69315708	3.69315708	0.0
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo	1093898.30137366	845300.83091124	248597.47046242
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97	1715077.34607964	1511067.26901619	204010.07706345
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ	205863.81561829	205863.79490385	0.02071444
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb	195551.1461604	127351.14171521	68200.00444519
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt	94643.30762512	0.0	94643.30762512
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs	94506.06272811	0.71840334	94505.34432477
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6	1291322.96747341	1234845.21016589	56477.75730752
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67	143601.61197429	119534.63996084	24066.97201345
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	79957.26510903	0.0	79957.26510903
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6	69370.17897025	0.0	69370.17897025
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC	53880.06427095	0.0	53880.06427095
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA	51830.4004436	0.0	51830.4004436
bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp	49825.72380688	49825.72380688	0.0
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS	1214090.09269367	1209848.28143968	4241.81125399
382k3VXeKcxcRpN9UHRSPzCQqRUMcsTNZf	48312.74678095	48312.74678095	0.0
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr	356800.2779697	297500.18233778	59300.09563192
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os	44000.08677758	0.0	44000.08677758
